Port,Pin,Mode,Pull-Type,Speed
GPIOC,GPIO_PIN_13,['IT_RISING'],['GPIO_NOPULL'],[]
GPIOC,GPIO_PIN_3,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_VERY_HIGH']
GPIOA,GPIO_PIN_5,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,GPIO_PIN_9,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,GPIO_PIN_6,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,GPIO_PIN_7,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,GPIO_PIN_8,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,GPIO_PIN_10,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOC,GPIO_PIN_7,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_4,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_6,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_5,['INPUT'],['GPIO_PULLDOWN'],[]
